id|name|imdbScore|year|category|link
80|Zoolander|6.6|2001|comedy|https://www.primevideo.com/detail/0HX2YFUB51YYMB38NYZKG5ATI4/ref=br_def_r_br_c_HxROdRsmr_1_212
22|S.O.S Fantômes 2|6.5|1989|comedy|https://www.primevideo.com/detail/0GYZPG50SJR8QZJAJW4WE4E6L0/ref=br_def_r_br_c_HxROdRsmr_1_38
38|La Vie, ma vie|6.5|2017|comedy|https://www.primevideo.com/detail/0HX4DSQG5JXIQ0Z62VCNXBGZC7/ref=br_def_r_br_c_HxROdRsmr_1_69
47|Road Trip|6.5|2000|comedy|https://www.primevideo.com/detail/0KELE6AF1W2VNC7X8OVJWWJGYJ/ref=br_def_r_br_c_HxROdRsmr_1_102
68|Deux Jours à Los Angeles|6.5|1996|comedy|https://www.primevideo.com/detail/0LGYHPYP6URD7F4FZXCOUHYDMT/ref=br_def_r_br_c_HxROdRsmr_1_167
69|Vacances Sur Ordannance|6.5|2006|comedy|https://www.primevideo.com/detail/0TEJSDG9U7P5CJGVISY88ED4XF/ref=br_def_r_br_c_HxROdRsmr_1_171
3|Mytho-Man|6.4|2009|comedy|https://www.primevideo.com/detail/0IMNQC2DTPCJ1Z8PA1ZSGNQIGE/ref=br_def_r_br_c_HxROdRsmr_1_5
43|Le Songe D'une Nuit D'été|6.4|1999|comedy|https://www.primevideo.com/detail/0TRD6Z5YTT7K07HBL1DJLFWITG/ref=br_def_r_br_c_HxROdRsmr_1_88
49|Click : Télécommandez votre vie (2006)|6.4|2006|comedy|https://www.primevideo.com/detail/0HX3CC57M63NWXIHBE5NH2SJ5F/ref=br_def_r_br_c_HxROdRsmr_1_106
58|Le Mytho|6.4|2011|comedy|https://www.primevideo.com/detail/0T1RWB910IJCB53IZ9GC1ZNWV6/ref=br_def_r_br_c_HxROdRsmr_1_128
67|Rencontres à Elizabethtown|6.4|2005|comedy|https://www.primevideo.com/detail/0N8WDW5WQP4Q4RX86LJ8NFCTG2/ref=br_def_r_br_c_HxROdRsmr_1_160
